"SNO","Variable","Value"
1,"home","ACCUEIL"
2,"issues","ENJEUX"
3,"vote","VOTEZ"
4,"login","LOGIN"
5,"emailaddress","Adresse Email"
6,"password","mot de passe"
7,"loginnow","Connectez"
8,"ortext","ou"
9,"signinwith","connectez avec"
10,"forgotPass","Mot de passe oubli&Aacute;e"
11,"register","Inscrivez-vous"
12,"registerheadingtext","Entrez votre adresse email dans le formulaire. Puis cliquez sur INSCRIVEZ-VOUS MAINTENANT!"
13,"project","Projets"
14,"category","Cat&eacute;gorie"
15,"priority","Priorit&eacute;"
16,"status","Statut"
17,"value","Valeur"
18,"showall","Montrer tout"
19,"learnAbtSite","Apprenez-en plus"
20,"aboutus","&Aacute; propos de nous"
21,"careers","Carri&eacute;res"
22,"press","Presse"
23,"faq","FAQ"
24,"help","Aide"
25,"connect","Connect"
26,"signuptoemail","Inscrivez-vous &Aacute; notre liste d'envoi"
27,"AddCashProject","Ajouter un projet"
28,"beingplan","&eacute;bauche"
29,"availnow","Disponible"
30,"inprog","En cours"
31,"alldone","Tout est fait"
32,"high","&Eacute;lev&eacute;"
33,"normal","Normale"
34,"low","Faible"
35,"addprojecttitle","Ajouter un projet"
36,"currstatus","Statut actuel"
37,"addprojtitlefield","Titre"
38,"projpic","Envoyer une image ou vid&eacute;o"
39,"projintro","Pr&eacute;sentation"
40,"addprojupmsg","200x200 image en taille r&eacute;elle."
41,"addprojdetails","D&eacute;tails"
42,"agecrt","Age court"
43,"agelng","Age longue"
44,"shorttime","Courte dur&eacute;e"
45,"maxtime","Temps maximum"
46,"assignedto","Assign&eacute;e &aacute;"
47,"payment","Paiement"
48,"paymenttype","Type de paiement"
49,"paidin","Paid In"
50,"percentcomp","Pour cent complet"
51,"featureproj","Feature Project"
52,"yestitle","Oui"
53,"notitle","Non"
54,"addcashbttn","Ajouter un projet MAINTENANT"
55,"cancelbttn","ANNULER"
56,"money","Argent"
57,"points","Points"
58,"editcashheading","Modifier projet"
59,"uploadmsg2","Si vous avez d&eacute;j&aacute; t&eacute;l&eacute;charg&eacute; l&iacute;mage et que vous voulez le mettre &aacute;jour ou si vous n&aacute;vez pas t&eacute;l&eacute;charger plus t&oacute;t, alors vous Pouvez utiliser cette option."
60,"projectprior","Priorit&eacute; du projet"
61,"updatecashbttn","MISE A JOUR DU PROJET"
62,"brief","Br&eacute;ve"
63,"beingdone","Se fait par"
64,"tID","tID"
65,"cash","argent"
66,"offered","pr&eacute;sent&eacute;t"
67,"expresstext","s'appliquer à travailler sur ce projet"
68,"clickherehotlinklogin","Cliquez ici (hotlink &aacute; la disposition connect&eacute; membres seulement)."
69,"clickherehotlink","Cliquez ici"
70,"comments","Commentaires"
71,"commentby","Commentaire de"
72,"commentadd","commentaire ajout&eacute;"
73,"nocommentsyet","Pas encore de commentaires!"
74,"leavecomments","Laisser un commentaire"
75,"name","nom"
76,"emailtext","Email (ne sera pas affich&eacute;)"
77,"commenttitle","commenter"
78,"addcommenttitle","Ajouter un commentaire"
79,"editprofile","Modifier le profil"
80,"myDashboard","Tableau de bord"
81,"mypersprofile","Profil myPersonal"
82,"myPoints","myPoints"
83,"purchasepts","Points d&aacute;chat"
84,"Logout","D&eacute;connexion"
85,"admintools","ADMIN TOOLS"
86,"sitesettings","Param&eacute;tres du site"
87,"admindash","Dashboard admin"
88,"manheadersec","G&eacute;rer d&eacute;n-t&eacute;te"
89,"manfootersec","G&eacute;rer Footer"
90,"manactrew","G&eacute;rer Rewards Activit&eacute;"
91,"manadmin","G&eacute;rer les administrateurs"
92,"manbusi","G&eacute;rer des entreprises"
93,"manchar","G&eacute;rer organismes de bienfaisance"
94,"mandown","G&eacute;rer T&eacute;l&eacute;chargements"
95,"manemalerts","G&eacute;rer les alertes E-mail"
96,"location","Emplacement"
97,"by","Par"
98,"projorder","Ordre du projet"
99,"disproj","Afficher Project"
100,"browse","D&eacute;couvrir"
101,"allproj","Tous les projets"
102,"search","Rechercher"
103,"msg1","Vous &eacute;tes &aacute; la recherche pour les cat&eacute;gories telles que ci-dessous"
104,"msg2","Vous &eacute;tes &aacute; la recherche de toutes les cat&eacute;gories"
105,"msg3","Tous les projets &eacute;num&eacute;r&eacute;s ci-dessous ont un statut"
106,"msg4","Voici tous les projets qui ont un type de statut"
107,"msg5","Tous les projets &eacute;num&eacute;r&eacute;s ci-dessous ont des priorit&eacute;s"
108,"msg6","Voici tous les projets qui ont un type de priorit&eacute;s"
109,"msg7","Il n&yacute; a pas de dossiers selon vos crit&eacute;res de recherche. S&iacute;l vous pla&iacute;t essayer &aacute; nouveau"
110,"mngcamp","G&eacute;rer projet"
111,"AddCampaigns","Ajouter Projets"
112,"allcamp","toutes les projet"
113,"draft","Projet"
114,"active","Actif"
115,"complete","Compl&eacute;ter"
116,"camppics","Projet Pic"
117,"fundinggoals","Objectif Principal"
118,"featurecamp","Projets &dacute;entit&eacute;"
119,"createdby","Cr&eacute;&eacute; par"
120,"campaignorder","Projet Ordre"
121,"dispcamp","Projet Display"
122,"save","Sauvegarder"
123,"campvidtitle","Projet Vid&eacute;o"
124,"dashboard","Tableau de bord"
125,"sharingtools","Partage D&oacute;utils"
126,"description","Description"
127,"rewards","R&eacute;compenses"
128,"team","Equipe"
129,"contributors","Contributeurs"
130,"ideastab","Id&eacute;es"
131,"hometab","Accueil"
132,"gallerytab","Galerie"
133,"updatestab","Mises &aacute; jours"
134,"headertitle1","sherbrookois"
135,"tasks","T&aacute;ches"
136,"AddNewTask","Ajouter t&aacute;che"
137,"allideas","toutes les id&eacute;es"
