"SNO","Variable","Value"
1,"home","HOME"
2,"issues","ISSUES "
3,"vote","VOTE"
4,"login","LOGIN"
5,"emailaddress","Email Address"
6,"password","Password"
7,"loginnow","Login Now"
8,"ortext","or"
9,"signinwith","sign in with"
10,"forgotPass","Forgot Password"
11,"register","Register"
12,"registerheadingtext","Enter your email address in the form. Then click SIGN-UP NOW!"
13,"project","Projects"
14,"category","Category"
15,"priority","Priority"
16,"status","Status"
17,"value","Value"
18,"showall","Show all"
19,"learnAbtSite","Learn more"
20,"aboutus","About us"
21,"careers","Careers"
22,"press","Press"
23,"faq","FAQ"
24,"help","Help"
25,"connect","Connect"
26,"signuptoemail","Sign up to our email list"
27,"AddCashProject","Add a Project"
28,"beingplan","Draft"
29,"availnow","Available Now"
30,"inprog","In progress"
31,"alldone","All Done"
32,"high","High"
33,"normal","Normal"
34,"low","Low"
35,"addprojecttitle","Add Project"
36,"currstatus","Current Status"
37,"addprojtitlefield","Title"
38,"projpic","Upload Image or Video"
39,"projintro","Introduction"
40,"addprojupmsg","200x200 size image."
41,"addprojdetails","Details"
42,"agecrt","Age Short"
43,"agelng","Age Long"
44,"shorttime","Short Time"
45,"maxtime","Maximum Time"
46,"assignedto","Assigned To"
47,"payment","Payment"
48,"paymenttype","Payment Type"
49,"paidin","Paid In"
50,"percentcomp","Percent Complete"
51,"featureproj","Feature Project"
52,"yestitle","Yes"
53,"notitle","No"
54,"addcashbttn","ADD PROJECT NOW"
55,"cancelbttn","CANCEL"
56,"money","Money"
57,"points","Points"
58,"editcashheading","Edit Project"
59,"uploadmsg2","If you have already uploaded the image and want to update it or you didn't upload earlier then you can use this option."
60,"projectprior","Project Priority"
61,"updatecashbttn","UPDATE PROJECT NOW"
62,"brief","Brief"
63,"beingdone","Being done by"
64,"tID","tID"
65,"cash","Cash"
66,"offered","Offered"
67,"expresstext","Apply to work on this project."
68,"clickherehotlinklogin","Click here (hotlink available to logged in members only)."
69,"clickherehotlink","Click here"
70,"comments","Comments"
71,"commentby","Comment By"
72,"commentadd","Comment Added"
73,"nocommentsyet","No comments yet!"
74,"leavecomments","Leave a Comment"
75,"name","Name"
76,"emailtext","Email (won't be displayed)"
77,"commenttitle","Comment"
78,"addcommenttitle","Add comment"
79,"editprofile","Edit Profile"
80,"myDashboard","myDashboard"
81,"mypersprofile","myPersonal Profile"
82,"myPoints","myPoints"
83,"purchasepts","Purchase Points"
84,"Logout","Logout"
85,"admintools","ADMIN TOOLS"
86,"sitesettings","Site Settings"
87,"admindash","Admin Dashboard"
88,"manheadersec","Manage Header "
89,"manfootersec","Manage Footer"
90,"manactrew","Manage Activity Rewards"
91,"manadmin","Manage Administrators"
92,"manbusi","Manage Businesses"
93,"manchar","Manage Charities"
94,"mandown","Manage Downloads"
95,"manemalerts","Manage Email Alerts"
96,"location","Location"
97,"by","By"
98,"projorder","Project Order"
99,"disproj","Display Project"
100,"browse","Browse"
101,"allproj","All Projects"
102,"search","Search"
103,"msg1","You are searching for the Categories like as below"
104,"msg2","You are searching for all the Categories"
105,"msg3","All the projects listed below have status"
106,"msg4","Below are all the projects which have any type of status"
107,"msg5","All the projects listed below have Priorities"
108,"msg6","Below are all the projects which have any type of priorities"
109,"msg7","no records match your search criteria. Please try again"
110,"mngcamp","Manage Project"
111,"AddCampaigns","Add Projects"
112,"allcamp","All Projects"
113,"draft","Draft"
114,"active","Active"
115,"complete","Complete"
116,"camppics","Project Pic"
117,"fundinggoals","Primary Goal"
118,"featurecamp","Feature Project"
119,"createdby","Created By"
120,"campaignorder","Project Order"
121,"dispcamp","Display Project"
122,"save","Save"
123,"campvidtitle","Project Video"
124,"dashboard","Dashboard"
125,"sharingtools","Sharing Tools"
126,"description","Description"
127,"rewards","Treats and Rewards"
128,"team","Team"
129,"contributors","Contributors"
130,"ideastab","Ideas"
131,"hometab","Home"
132,"gallerytab","Gallery"
133,"updatestab","Updates"
134,"headertitle1","sherbrookers"
135,"tasks","Tasks"
136,"AddNewTask","Add Task"
137,"allideas","all ideas"
138,"manageideas","Manage Ideas"
139,"manageideascat","Manage Idea Categories"
140,"manageideastopics","Manage Idea Topics"
141,"manageideasstages","Manage Idea Stages"
142,"manageideamoder","Manage Idea Moderators"
143,"manageinvitefriend","Manage Invite-a-Friend"
144,"managegoal","Manage Goal"
145,"managelib","Manage Library"
146,"managememb","Manage Members"
147,"managemoney","Manage Money"
148,"managepartner","Manage Partners"
149,"managepoints","Manage Points"
150,"manageptspurch","Manage Points Purchases"
151,"manageprizes","Manage Prizes"
152,"manageprojectgrp","Manage Project Groups"
153,"managecategories","Manage Project Categories"
154,"managepromocodes","Manage Promo Codes"
155,"managequotes","Manage Quotes"
156,"managerewards","Manage Stuff"
157,"managerewrequests","Manage Stuff Requests"
158,"manageRolPerm","Manage Roles/Permissions"
159,"manageschools","Manage Schools"
160,"manageschoolstoadd","Manage Schools To-Add"
161,"managesections","Manage Sections"
162,"managesmstaglines","Manage SMS Taglines"
163,"managesubscr","Manage Subscriptions"
164,"managesurveys","Manage Surveys"
165,"managetestimonial","Manage Testimonials"
166,"manageadminaudit","Administration Audit"
167,"emailtool","Email Tool"
168,"followedproj","Followed Projects"
169,"searchkeyword","search keywords"
170,"campaignVid","Project Video"
171,"campaignPic","Project Pic"
172,"galleryimg","Gallery Images"
173,"moderators","Project Owner"
174,"dashvarval","DashBoard Variables with Values"
175,"selmoderator","Select a moderator"
176,"labeltxt","Label"
177,"valtxt","Value"
178,"percentvaltxt","Percentage Value"
179,"uploadtext","Note: 700x306 size image"
180,"upload2text","Note: 200x200 size image"
181,"campvidnote1","Note: enter URL of youtube or vimeo"
182,"campvidnote2"," "
183,"campvidnote3"," "
184,"sharethisproj","Share This Project"
185,"unfollowtext","UnFollow"
186,"followtext","Follow"
187,"embedtext","Embed"
188,"emailtext1Follow","Email"
189,"descriptiontext","Description"
190,"teamtext","Team"
191,"relatedIdeas","Related Ideas"
192,"ideascheck1","points are available to use..."
193,"pendingideastext","pending ideas"
194,"activeideastext","active ideas"
195,"needmyvotetext","need my vote"
196,"retideastext","returned ideas"
197,"winnerideatext","winner ideas"
198,"totaltxt","Total"
199,"relatedtasktxt","Related Tasks"
200,"relatedprojtxt","Related Projects"
201,"selectprojtxt","Select Project"
202,"actions","Actions"
203,"pID","pID"
204,"ptextContent","P"
205,"resetS","Reset"
206,"currentBal","Your point balance is"
207,"pts","pts"
208,"toseehowearn","to see how to earn points."
209,"addresource","ADD A RELATED RESOURCE"
210,"addlevel2doc","ADD A LEVEL 3 DOCUMENT"
211,"type","Type"
212,"Title","Title"
213,"Format","Format"
214,"Uploaded","Uploaded"
215,"filesize","File Size"
216,"relatedRes","R E L A T E D   R E S O U R C E S"
217,"futherInf","F U R T H E R   I N F O R M A T I O N"
218,"forgotPassHeading","Forgot Your Password?"
219,"forgotPassNote","Enter email address and click “Send” to have your login details sent to you."
220,"sendPassText","Send Password"
221,"emailfoundtext1","We already have a member with the email address you specified."
222,"emailfoundtext2","Please use the Forgot your Password function to retreive your"
223,"emailfoundtext3","login details, or contact"
224,"emailfoundtext4","for further help."
225,"validEmailNote","Please enter a valid Email Address."
226,"thanksText","THANKS!"
227,"checkEmailNote","Check your email:"
228,"forverilinktext","for your verification link."
229,"firstNameText","First Name"
230,"lastNameText","Last Name"
231,"CountryText","Country"
232,"PasswordText","Password"
233,"CpasswordText","Confirm Password"
234,"acceptterms","Accept Terms"
235,"readterms1","I HAVE READ AND ACCEPT THE"
236,"readterms2","TERMS OF USE AGREEMENT"
